fixed acidity,volatile acidity,citric acid,chlorides,density,pH,alcohol,quality
6.8,0.83,0.09,0.074,0.99534,3.38,9.6,5
8,0.6,0.22,0.08,0.99613,3.3,9.9,5
8,0.6,0.22,0.08,0.99613,3.3,9.9,5
7.1,0.755,0.15,0.107,0.99593,3.19,9.5,5
8,0.81,0.25,0.076,0.99668,3.19,9.2,5
7.4,0.64,0.07,0.1,0.9961,3.3,9.6,5
7.4,0.64,0.07,0.1,0.9961,3.3,9.6,5
6.6,0.64,0.31,0.083,0.99718,3.35,10.3,5
6.7,0.48,0.02,0.08,0.99524,3.1,9.7,5
6,0.49,0,0.068,0.99292,3.58,12.5,6
8,0.64,0.22,0.094,0.99612,3.37,11,5
7.1,0.62,0.06,0.07,0.9942,3.17,9.8,5
8,0.52,0.25,0.078,0.99612,3.3,10.2,5
6.4,0.57,0.14,0.07,0.99669,3.32,9.2,5
8.6,0.685,0.1,0.092,0.99745,3.31,9.55,6
8.7,0.675,0.1,0.09,0.99745,3.31,9.55,5
7.3,0.59,0.26,0.08,0.99584,3.28,9.9,5
7,0.6,0.12,0.083,0.9966,3.52,10.2,7
7.2,0.67,0,0.068,0.9956,3.42,11.1,6
7.9,0.69,0.21,0.08,0.9962,3.25,9.9,5
7.9,0.69,0.21,0.08,0.9962,3.25,9.9,5
7.6,0.3,0.42,0.052,0.9963,3.44,11.9,6
7.2,0.33,0.33,0.061,0.996,3.23,10,8
8,0.5,0.39,0.082,0.9985,3.43,10.7,6
7.7,0.28,0.3,0.062,0.9952,3.28,11.3,7
8.2,0.24,0.34,0.062,0.9974,3.22,10.9,6
6,0.51,0,0.064,0.995,3.54,10.7,6
8.1,0.29,0.36,0.048,0.995,3.27,12.4,7
6,0.51,0,0.064,0.995,3.54,10.7,6
6.6,0.96,0,0.082,0.9936,3.5,11.9,6
6.4,0.47,0.4,0.071,0.9963,3.56,10.6,6
8.2,0.24,0.34,0.062,0.9974,3.22,10.9,6
9.9,0.57,0.25,0.104,0.9963,3.04,10.1,5
10,0.32,0.59,0.077,0.9994,3.2,9.6,5
6.2,0.58,0,0.065,0.9966,3.56,9.4,5
10,0.32,0.59,0.077,0.9994,3.2,9.6,5
7.3,0.34,0.33,0.064,0.9952,3.35,12.1,7
7.8,0.53,0.01,0.077,0.995,3.16,9.8,5
7.7,0.64,0.21,0.077,0.9956,3.27,9.9,5
7.8,0.53,0.01,0.077,0.995,3.16,9.8,5
7.5,0.4,0.18,0.079,0.9965,3.34,9.4,5
7,0.54,0,0.079,0.9956,3.39,11.4,6
6.4,0.53,0.09,0.123,0.9968,3.5,11,4
8.3,0.26,0.37,0.076,0.9974,3.26,9.6,6
8.3,0.26,0.37,0.076,0.9974,3.26,9.6,6
7.7,0.23,0.37,0.046,0.9971,3.41,12.1,6
7.6,0.41,0.33,0.078,0.9957,3.3,11.2,5
7.8,0.64,0,0.072,0.9962,3.31,11,5
7.9,0.18,0.4,0.049,0.996,3.33,11.3,5
7.4,0.41,0.24,0.066,0.9956,3.37,10.4,5
7.6,0.43,0.31,0.069,0.9958,3.26,9.9,6
5.9,0.44,0,0.042,0.9944,3.48,11.7,6
6.1,0.4,0.16,0.069,0.9955,3.42,10.1,7
10.2,0.54,0.37,0.214,1.00369,3.18,9,6
10.2,0.54,0.37,0.214,1.00369,3.18,9,6
10,0.38,0.38,0.169,0.99914,3.15,8.5,5
6.8,0.915,0.29,0.07,0.99577,3.53,11.1,5
7,0.59,0,0.052,0.996,3.41,10.3,5
7.3,0.67,0.02,0.072,0.99566,3.32,11.06666667,6
7.2,0.37,0.32,0.062,0.9947,3.23,11.3,7
7.4,0.785,0.19,0.094,0.99713,3.16,9.566666667,6
6.9,0.63,0.02,0.078,0.99712,3.4,9.8,5
6.9,0.58,0.2,0.058,0.99322,3.38,11.7,5
7.3,0.67,0.02,0.072,0.99566,3.32,11.1,6
7.4,0.785,0.19,0.094,0.99713,3.16,9.6,6
6.9,0.63,0.02,0.078,0.99712,3.4,9.8,5
6.8,0.67,0,0.08,0.99701,3.4,9.7,5
6.9,0.58,0.01,0.08,0.99683,3.4,9.7,5
7.2,0.38,0.31,0.056,0.99472,3.23,11.3,8
7.2,0.37,0.32,0.062,0.9947,3.23,11.3,7
7.8,0.32,0.44,0.104,0.99732,3.33,11,7
6.6,0.58,0.02,0.062,0.99374,3.35,11.6,7
7.6,0.49,0.33,0.074,0.99706,3.41,9,5
11.7,0.45,0.63,0.073,0.99974,3.21,10.9,6
6.5,0.9,0,0.052,0.99467,3.5,10.9,6
6,0.54,0.06,0.05,0.99236,3.3,10.55,6
7.6,0.49,0.33,0.074,0.99706,3.41,9,5
8.4,0.29,0.4,0.067,0.99603,3.39,10.5,5
7.9,0.2,0.35,0.054,0.99458,3.32,11.9,7
6.4,0.42,0.09,0.054,0.99724,3.41,10.4,6
6.2,0.785,0,0.06,0.99664,3.59,10,4
6.8,0.64,0.03,0.075,0.99545,3.36,10.4,6
6.9,0.63,0.01,0.076,0.99522,3.34,10.8,6
6.8,0.59,0.1,0.063,0.9958,3.41,9.7,5
6.8,0.59,0.1,0.063,0.9958,3.41,9.7,5
7.3,0.48,0.32,0.062,0.99728,3.3,10,7
6.7,1.04,0.08,0.067,0.99648,3.52,11,4
7.3,0.48,0.32,0.062,0.99728,3.3,10,7
7.3,0.98,0.05,0.061,0.99705,3.31,9.7,3
10,0.69,0.11,0.084,0.99578,2.88,9.7,5
6.7,0.7,0.08,0.067,0.99334,3.43,12.6,5
7.6,0.35,0.6,0.073,0.99656,3.38,11.1,6
6.1,0.6,0.08,0.071,0.99336,3.38,11,5
9.9,0.5,0.5,0.205,1.00242,3.16,8.8,5
5.3,0.47,0.11,0.048,0.99182,3.54,13.56666667,7
9.9,0.5,0.5,0.205,1.00242,3.16,8.8,5
5.3,0.47,0.11,0.048,0.99182,3.54,13.6,7
7.1,0.875,0.05,0.082,0.99808,3.4,10.2,3
8.2,0.28,0.6,0.104,0.99828,3.39,10.6,5
5.6,0.62,0.03,0.08,0.99498,3.66,10.1,4
8.2,0.28,0.6,0.104,0.99828,3.39,10.6,5
7.2,0.58,0.54,0.114,0.99719,3.33,10.3,4
8.1,0.33,0.44,0.042,0.99542,3.35,10.7,5
6.8,0.91,0.06,0.06,0.99592,3.53,10.9,4
7,0.655,0.16,0.074,0.99606,3.37,9.7,5
6.8,0.68,0.21,0.07,0.99546,3.38,10.3,5
6,0.64,0.05,0.066,0.99496,3.52,10.6,5
5.6,0.54,0.04,0.049,0.9942,3.72,11.4,5
6.2,0.57,0.1,0.048,0.99448,3.44,10.8,6
7.1,0.22,0.49,0.039,0.99344,3.39,12.4,6
5.6,0.54,0.04,0.049,0.9942,3.72,11.4,5
6.2,0.65,0.06,0.05,0.99348,3.57,11.95,5
7.7,0.54,0.26,0.089,0.99636,3.26,9.7,5
6.4,0.31,0.09,0.066,0.99459,3.42,10,7
7,0.43,0.02,0.08,0.99492,3.35,10.6,6
7.7,0.54,0.26,0.089,0.99636,3.26,9.7,5
6.9,0.74,0.03,0.054,0.99508,3.45,11.5,6
6.6,0.895,0.04,0.068,0.99582,3.53,10.8,6
6.9,0.74,0.03,0.054,0.99508,3.45,11.5,6
7.5,0.725,0.04,0.076,0.99508,3.26,9.6,5
7.8,0.82,0.29,0.083,0.99642,3.16,9.4,5
7.3,0.585,0.18,0.078,0.99638,3.31,9.8,5
6.2,0.44,0.39,0.077,0.99555,3.51,11,6
7.5,0.38,0.57,0.106,0.99605,3.36,11.4,6
6.7,0.76,0.02,0.078,0.996,3.55,9.95,3
6.8,0.81,0.05,0.07,0.99562,3.51,10.8,6
7.5,0.38,0.57,0.106,0.99605,3.36,11.4,6
7.1,0.27,0.6,0.074,0.99814,3.38,10.6,6
7.9,0.18,0.4,0.062,0.9941,3.28,11.1,5
6.4,0.36,0.21,0.047,0.99661,3.47,9.7,6
7.1,0.69,0.04,0.068,0.99712,3.44,9.8,5
6.4,0.79,0.04,0.061,0.99588,3.53,10.4,6
6.4,0.56,0.15,0.078,0.99294,3.33,10.5,6
6.9,0.84,0.21,0.074,0.99842,3.53,9.233333333,6
6.9,0.84,0.21,0.074,0.99842,3.53,9.25,6
6.1,0.32,0.25,0.071,0.99633,3.42,10.6,5
6.5,0.53,0.06,0.063,0.99489,3.38,10.3,6
7.4,0.47,0.46,0.114,0.99647,3.32,10.5,5
6.6,0.7,0.08,0.106,0.99665,3.44,10.2,5
6.5,0.53,0.06,0.063,0.99489,3.38,10.3,6
6.9,0.48,0.2,0.082,0.99585,3.39,9.05,4
6.1,0.32,0.25,0.071,0.99633,3.42,10.6,5
6.8,0.48,0.25,0.076,0.9953,3.34,10.4,5
6,0.42,0.19,0.075,0.99522,3.39,10,6
6.7,0.48,0.08,0.064,0.99552,3.33,9.7,5
6.8,0.47,0.08,0.064,0.99553,3.3,9.6,6
7.1,0.53,0.07,0.071,0.9951,3.29,10.8,6
7.9,0.29,0.49,0.096,0.99714,3.31,10.1,6
7.1,0.69,0.08,0.063,0.99608,3.42,10.2,6
6.6,0.44,0.09,0.063,0.99444,3.42,11.3,6
6.1,0.705,0.1,0.081,0.99631,3.6,10.2,5
7.2,0.53,0.13,0.058,0.99573,3.21,9.9,6
8,0.39,0.3,0.074,0.99717,3.39,9,5
6.6,0.56,0.14,0.064,0.99397,3.42,11.7,7
7,0.55,0.13,0.075,0.9959,3.36,9.7,6
6.1,0.53,0.08,0.077,0.99528,3.6,10.3,6
5.4,0.58,0.08,0.059,0.99484,3.5,10.2,6
6.2,0.64,0.09,0.081,0.99538,3.57,12,5
7.2,0.39,0.32,0.065,0.99714,3.46,9.9,5
6.2,0.52,0.08,0.071,0.99646,3.56,11.6,6
7.4,0.25,0.29,0.054,0.99666,3.4,10.9,7
6.7,0.855,0.02,0.064,0.99472,3.3,10.75,6
11.1,0.44,0.42,0.064,0.99758,3.25,10.4,6
8.4,0.37,0.43,0.063,0.9955,3.17,11.2,7
6.5,0.63,0.33,0.059,0.99531,3.36,10.1,6
7,0.57,0.02,0.072,0.99575,3.36,10.2,5
6.3,0.6,0.1,0.048,0.99306,3.55,12.1,5
11.2,0.4,0.5,0.099,0.99783,3.1,10.4,5
7.4,0.36,0.3,0.074,0.99419,3.24,11.4,8
7.1,0.68,0,0.087,0.99783,3.45,9.5,5
7.1,0.67,0,0.083,0.99768,3.44,9.4,5
6.3,0.68,0.01,0.103,0.99586,3.51,11.3,6
7.3,0.735,0,0.08,0.99765,3.41,9.4,5
6.6,0.855,0.02,0.062,0.99627,3.54,11,6
7,0.56,0.17,0.065,0.99514,3.44,10.55,7
6.6,0.88,0.04,0.066,0.99636,3.53,9.9,5
6.6,0.855,0.02,0.062,0.99627,3.54,11,6
6.9,0.63,0.33,0.235,0.99787,3.22,9.5,5
7.8,0.6,0.26,0.08,0.99622,3.21,9.9,5
7.8,0.6,0.26,0.08,0.99622,3.21,9.9,5
7.8,0.6,0.26,0.08,0.99622,3.21,9.9,5
7.2,0.695,0.13,0.076,0.99546,3.29,10.1,5
7.2,0.695,0.13,0.076,0.99546,3.29,10.1,5
7.2,0.695,0.13,0.076,0.99546,3.29,10.1,5
6.7,0.67,0.02,0.061,0.99489,3.39,10.9,6
6.7,0.16,0.64,0.059,0.99494,3.34,11.2,6
7.2,0.695,0.13,0.076,0.99546,3.29,10.1,5
7,0.56,0.13,0.077,0.99629,3.34,9.2,5
6.2,0.51,0.14,0.056,0.99396,3.48,11.5,6
6.4,0.36,0.53,0.23,0.9934,3.37,12.4,6
6.4,0.38,0.14,0.038,0.99514,3.44,11.1,6
7.3,0.69,0.32,0.069,0.99632,3.33,9.5,5
6,0.58,0.2,0.075,0.99467,3.58,12.5,6
5.6,0.31,0.78,0.074,0.99677,3.39,10.5,6
7.5,0.52,0.4,0.06,0.99474,3.26,11.8,6
8,0.3,0.63,0.081,0.99588,3.3,10.8,6
6.2,0.7,0.15,0.076,0.99622,3.54,11.9,6
6.8,0.67,0.15,0.118,0.9954,3.42,11.3,6
6.2,0.56,0.09,0.053,0.99402,3.54,11.3,5
7.4,0.35,0.33,0.068,0.9947,3.36,11.9,6
6.2,0.56,0.09,0.053,0.99402,3.54,11.3,5
6.1,0.715,0.1,0.053,0.99362,3.57,11.9,5
6.2,0.46,0.29,0.074,0.99578,3.33,9.8,5
6.7,0.32,0.44,0.061,0.99484,3.29,11.6,7
7.2,0.39,0.44,0.066,0.99494,3.3,11.5,6
7.5,0.31,0.41,0.065,0.99492,3.34,11.4,6
5.8,0.61,0.11,0.066,0.99483,3.55,10.9,6
7.2,0.66,0.33,0.068,0.99414,3.27,12.8,6
6.6,0.725,0.2,0.073,0.9977,3.29,9.2,5
6.3,0.55,0.15,0.077,0.99314,3.32,11.6,6
5.4,0.74,0.09,0.089,0.99402,3.67,11.6,6
6.3,0.51,0.13,0.076,0.99574,3.42,11,6
6.8,0.62,0.08,0.068,0.99651,3.42,9.5,6
6.2,0.6,0.08,0.09,0.9949,3.45,10.5,5
5.9,0.55,0.1,0.062,0.99512,3.52,11.2,6
6.3,0.51,0.13,0.076,0.99574,3.42,11,6
5.9,0.645,0.12,0.075,0.99547,3.57,10.2,5
6,0.31,0.47,0.067,0.99549,3.39,11,6
